,0
groupkey,100596
loanfirstdefaultedcyclenumber,96985
scorexchangeattimeoflisting,95009
ontimeprosperpayments,91852
prosperpaymentslessthanonemonthlate,91852
prosperpaymentsonemonthpluslate,91852
prosperprincipaloutstanding,91852
totalprosperloans,91852
totalprosperpaymentsbilled,91852
prosperprincipalborrowed,91852
datecreditpulled,85125
creditgrade,84984
closeddate,58868
estimatedeffectiveyield,29084
prosperrating_numeric,29084
estimatedreturn,29084
prosperscore,29084
estimatedloss,29084
prosperrating_alpha,29084
debttoincomeratio,8554
employmentstatusduration,7625
amountdelinquent,7622
publicrecordslast12months,7604
bankcardutilization,7604
opencreditlines,7604
revolvingcreditbalance,7604
currentcreditlines,7604
availablebankcardcredit,7544
totaltrades,7544
tradesopenedlast6months,7544
tradesneverdelinquent_percentage,7544
borrowerstate,5515
occupation,3588
employmentstatus,2255
totalinquiries,1159
delinquencieslast7years,990
publicrecordslast10years,697
inquirieslast6months,697
currentdelinquencies,697
firstrecordedcreditline,697
totalcreditlinespast7years,697
creditscorerangeupper,591
creditscorerangelower,591
listingcreationdate,387
borrowerapr,25
borrowerrate,0
lenderyield,0
term,0
loanstatus,0
currentlyingroup,0
openrevolvingmonthlypayment,0
listingcategory_numeric,0
isborrowerhomeowner,0
openrevolvingaccounts,0
incomeverifiable,0
statedmonthlyincome,0
incomerange,0
loancurrentdaysdelinquent,0
loanmonthssinceorigination,0
loannumber,0
loanoriginalamount,0
loanoriginationdate,0
loanoriginationquarter,0
monthlyloanpayment,0
lp_customerpayments,0
lp_customerprincipalpayments,0
lp_interestandfees,0
lp_servicefees,0
lp_collectionfees,0
lp_grossprincipalloss,0
lp_netprincipalloss,0
lp_nonprincipalrecoverypayments,0
percentfunded,0
recommendations,0
investmentfromfriendscount,0
investmentfromfriendsamount,0
investors,0
