purpose,isjointapplication,loanamount,interestrate,monthlypayment,grade,residentialstate,homeownership,annualincome,incomeverified,dtiratio,lengthcredithistory,numtotalcreditlines,numopencreditlines,numopencreditlines1year,revolvingbalance,revolvingutilizationrate,numderogatoryrec,numdelinquency2years,numchargeoff1year,numinquiries6mon,loan_year,loan_month,loan_dayofweek,term_months,default_flag
debtconsolidation,0.0,25190.0,6.25,490,E3,NM,rent,56471,1,16.8,6,11,9.0,6,14301,49.02,0,19,10,0,2014,12,2,60.0,0
debtconsolidation,0.0,21189.0,10.49,455,B3,WA,rent,55038,0,19.99,22,8,7.0,4,18262,72.4,1,0,0,0,2014,9,0,60.0,0
debtconsolidation,0.0,29908.0,9.11,622,B2,MS,rent,56610,1,14.33,5,8,5.0,5,10799,66.27,0,1,1,0,2014,9,3,60.0,0
homeimprovement,0.0,13053.0,11.89,343,B3,TX,own,54887,1,14.8,12,14,7.0,3,15272,61.05,1,0,0,3,2016,4,4,48.0,0
debtconsolidation,0.0,24613.0,15.13,587,A3,MA,rent,53522,1,10.14,4,21,19.0,10,19316,56.39,2,14,7,1,2016,2,2,60.0,0
debtconsolidation,0.0,17905.0,10.43,384,A1,NH,rent,58459,0,15.77,1,18,15.0,8,18830,59.61,0,0,0,0,2015,11,5,60.0,0
debtconsolidation,0.0,26238.0,10.96,859,B3,VT,rent,56611,0,13.52,1,9,7.0,5,17157,43.01,0,0,0,0,2014,5,2,36.0,0
healthcare,0.0,21940.0,10.28,559,B1,CA,mortgage,58163,0,25.22,6,14,9.0,5,15867,62.55,0,0,0,0,2015,4,2,48.0,0
debtconsolidation,0.0,18195.0,12.08,605,A1,IN,rent,55636,1,9.97,10,19,12.0,5,12908,67.67,0,20,15,1,2014,10,2,36.0,0
debtconsolidation,0.0,24418.0,11.63,639,B1,IL,mortgage,54599,0,20.9,26,16,11.0,10,15235,58.07,1,0,0,1,2015,12,5,48.0,0
debtconsolidation,0.0,25612.0,17.99,926,B2,IA,own,56781,1,8.62,4,15,14.0,11,15900,37.7,0,0,0,10,2014,8,4,36.0,0
debtconsolidation,0.0,25659.0,14.36,706,C1,UT,mortgage,51089,1,17.54,7,21,15.0,8,17402,88.24,0,7,5,13,2016,2,3,48.0,0
debtconsolidation,0.0,17914.0,13.28,410,B1,CA,rent,49704,0,15.67,5,10,9.0,7,13026,68.96,0,0,0,1,2015,11,4,60.0,0
debtconsolidation,0.0,15555.0,13.02,524,A2,CT,mortgage,56864,0,9.26,7,13,12.0,7,11140,71.85,0,5,5,2,2015,12,1,36.0,0
debtconsolidation,0.0,20447.0,13.35,692,D2,ID,mortgage,56075,1,13.11,14,14,12.0,9,10098,71.71,0,1,1,0,2014,5,2,36.0,0
debtconsolidation,0.0,31487.0,11.7,825,A2,FL,rent,57647,1,21.8,3,9,7.0,6,13754,50.61,0,0,0,0,2015,11,6,48.0,0
debtconsolidation,0.0,21991.0,9.72,464,C1,TN,mortgage,57635,1,8.13,8,15,8.0,7,17414,54.31,0,0,0,1,2016,5,3,60.0,0
