listingcreationdate,creditgrade,term,loanstatus,closeddate,borrowerapr,borrowerrate,lenderyield,estimatedeffectiveyield,estimatedloss,estimatedreturn,prosperrating_numeric,prosperscore,listingcategory_numeric,borrowerstate,occupation,employmentstatusduration,isborrowerhomeowner,currentlyingroup,groupkey,datecreditpulled,creditscorerangelower,creditscorerangeupper,firstrecordedcreditline,currentcreditlines,opencreditlines,totalcreditlinespast7years,openrevolvingaccounts,openrevolvingmonthlypayment,inquirieslast6months,totalinquiries,currentdelinquencies,amountdelinquent,delinquencieslast7years,publicrecordslast10years,publicrecordslast12months,revolvingcreditbalance,bankcardutilization,availablebankcardcredit,totaltrades,tradesneverdelinquent_percentage,tradesopenedlast6months,debttoincomeratio,incomeverifiable,statedmonthlyincome,totalprosperloans,totalprosperpaymentsbilled,ontimeprosperpayments,prosperpaymentslessthanonemonthlate,prosperpaymentsonemonthpluslate,prosperprincipalborrowed,prosperprincipaloutstanding,scorexchangeattimeoflisting,loancurrentdaysdelinquent,loanfirstdefaultedcyclenumber,loanmonthssinceorigination,loannumber,loanoriginalamount,loanoriginationdate,loanoriginationquarter,monthlyloanpayment,lp_customerpayments,lp_customerprincipalpayments,lp_interestandfees,lp_servicefees,lp_collectionfees,lp_grossprincipalloss,lp_netprincipalloss,lp_nonprincipalrecoverypayments,percentfunded,recommendations,investmentfromfriendscount,investmentfromfriendsamount,investors,loanstatus_clean,target_default,credit_age_months,log_loan_amount,log_monthly_income,income_to_loan_ratio,installment_to_income_ratio,credit_utilization,has_delinquency,rating_AA,rating_B,rating_C,rating_D,rating_E,rating_HR,emp_Full-time,emp_Not available,emp_Not employed,emp_Other,emp_Part-time,emp_Retired,emp_Self-employed,"inc_$1-24,999","inc_$100,000+","inc_$25,000-49,999","inc_$50,000-74,999","inc_$75,000-99,999",inc_Not displayed,inc_Not employed,pred_prob,risk_bucket,pred_flag_threshold_0.10
2010-09-07 18:24:58.580,,36,Chargedoff,2011-05-01,0.38723,0.35,0.34,0.0799,0.24,0.0799,1.0,2.0,1,MI,Analyst,188.0,True,False,,,640.0,659.0,1997-05-30,21.0,13.0,53.0,7,583.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,15367.0,0.85,1689.0,49.0,1.0,1.0,0.36,True,6833.333333,2.0,33.0,33.0,0.0,0.0,6400.0,0.0,46.0,1166,8.0,42,44629,7500,2010-09-30,Q3 2010,339.27,828.54,243.52,585.02,-12.42,-42.5,7256.48,7256.48,100.0,1.0,0,0,0.0,80,chargedoff,1,161.6,8.922791623969637,8.829714207166164,0.9111111110666666,0.0496420036116491,0.5909090909090909,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,medium,1
2008-09-30 11:07:12.693,C,36,Chargedoff,2009-08-09,0.1971,0.1695,0.1595,,,,,,1,OH,Other,9.0,False,False,,2008-09-30 11:06:53.507,640.0,659.0,1993-12-01,5.0,4.0,29.0,3,78.0,1.0,10.0,0.0,0.0,51.0,1.0,0.0,1933.0,0.7,817.0,26.0,0.5,0.0,0.11,True,4916.666667,,,,,,,,,1797,10.0,65,37544,2000,2008-10-08,Q4 2008,71.26,356.3,222.04,134.26,-7.92,0.0,1777.96,1777.96,0.0,1.0,0,0,0.0,43,chargedoff,1,180.56666666666663,7.601402334583733,8.50058944231724,2.4583333335,0.0144906120779169,0.6666666666666666,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2011-05-26 13:37:33.577,,36,Chargedoff,2011-11-14,0.30532,0.2699,0.2599,0.2534,0.112,0.1414,3.0,8.0,7,CT,Skilled Labor,196.0,False,False,,,640.0,659.0,1994-03-05,1.0,1.0,29.0,1,17.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,932.0,0.93,68.0,20.0,0.65,0.0,0.08,True,3500.0,,,,,,,,,969,5.0,33,50232,2500,2011-06-15,Q2 2011,102.05,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,0.0,1.0,0,0,0.0,51,chargedoff,1,209.7,7.824445930877619,8.160803920954665,1.4,0.029148814624393,0.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,medium,1
2007-03-12 10:09:53.263,E,36,Chargedoff,2008-01-18,0.30564,0.29,0.28,,,,,,0,TX,Teacher,150.0,True,False,,2007-02-27 12:29:26.633,560.0,579.0,1989-10-23,7.0,6.0,37.0,4,238.0,3.0,10.0,1.0,0.0,35.0,1.0,0.0,3386.0,1.14,31.0,32.0,0.39,1.0,0.53,True,3358.333333,,,,,,,,,2364,10.0,84,8628,4000,2007-03-19,Q1 2007,167.62,872.86,354.46,518.4,-16.33,-11.25,3645.55,3645.54,0.0,1.0,0,0,0.0,41,chargedoff,1,211.63333333333333,8.294299608857235,8.119497820473208,0.83958333325,0.0498968049265624,0.75,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,medium,1
2007-04-18 14:11:08.707,A,36,Chargedoff,2009-04-09,0.15462,0.1475,0.1425,,,,,,0,WA,Professional,37.0,False,False,,2007-04-18 13:52:33.870,720.0,739.0,1997-03-17,24.0,20.0,36.0,19,311.0,14.0,23.0,2.0,204.0,0.0,0.0,0.0,2771.0,0.02,97929.0,32.0,0.96,14.0,0.11,True,9202.5,,,,,,,,,1918,23.0,82,14689,25000,2007-05-08,Q2 2007,863.58,15544.44,11108.09,4436.35,-150.4,0.0,13891.91,13891.91,0.0,1.0,0,0,0.0,306,chargedoff,1,122.8,10.12667110305036,9.127339125472776,0.3681,0.0938316944640625,0.8,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1.0,medium,1
2007-03-07 10:09:37.587,A,36,Chargedoff,2008-09-11,0.13705,0.13,0.125,,,,,,0,IA,Analyst,108.0,True,False,,2007-03-07 09:44:54.530,740.0,759.0,1993-08-04,5.0,3.0,23.0,2,39.0,0.0,1.0,0.0,0.0,19.0,1.0,1.0,1223.0,0.22,4177.0,19.0,0.63,1.0,0.2,True,3875.0,,,,,,,,,2096,18.0,84,8408,6000,2007-03-13,Q1 2007,202.16,2628.08,1769.09,858.99,-20.98,-165.7641,4230.88,4230.91,202.16,1.0,1,0,0.0,69,chargedoff,1,165.43333333333334,8.699681400989514,8.262558973010657,0.6458333333333334,0.052156862745098,0.5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,medium,1
2008-03-05 10:01:46.090,B,36,Defaulted,2009-09-19,0.16941,0.155,0.145,,,,,,1,WI,Other,19.0,True,False,,2008-03-05 09:18:18.293,680.0,699.0,1999-11-22,2.0,0.0,29.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.65,0.0,0.11,True,1808.333333,,,,,,,,,589,18.0,72,28600,4000,2008-03-18,Q1 2008,139.64,1800.32,1218.0,582.32,-48.93,-318.85,2782.0,1464.17,847.81,1.0,0,0,0.0,58,defaulted,1,100.86666666666666,8.294299608857235,7.50071373210242,0.45208333325,0.0771775976560754,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,1.0,medium,1
2008-01-07 04:27:37.960,A,36,Chargedoff,2008-09-20,0.13915,0.125,0.115,,,,,,3,NC,Engineer - Mechanical,31.0,True,False,,2007-12-24 23:03:00.767,740.0,759.0,2005-05-27,6.0,6.0,7.0,5,196.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4157.0,0.0,5900.0,7.0,1.0,2.0,0.14,True,7276.0,,,,,,,,,2118,8.0,74,25701,24000,2008-01-22,Q1 2008,802.89,2408.67,1678.04,730.63,-58.46,0.0,22321.95,22321.96,0.0,1.0,0,0,0.0,580,chargedoff,1,31.83333333333333,10.085850775128716,8.892473968347087,0.3031666666666666,0.1103325546241583,0.8571428571428571,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,medium,1
2007-04-12 10:27:19.967,E,36,Chargedoff,2008-05-26,0.24507,0.23,0.22,,,,,,0,CA,Administrative Assistant,44.0,False,True,C9643379247860156A00EC0,2007-04-05 19:46:32.283,560.0,579.0,1985-11-20,9.0,7.0,26.0,6,78.0,5.0,15.0,0.0,0.0,1.0,1.0,0.0,3638.0,0.87,591.0,25.0,0.84,2.0,0.22,True,5900.583333,,,,,,,,,1810,1.0,83,13372,10000,2007-04-26,Q2 2007,387.1,3136.8,1497.58,1639.22,-68.88,-898.92,8518.1,8502.42,5443.07,1.0,0,0,0.0,164,chargedoff,1,260.43333333333334,9.210440366976515,8.68297595541672,0.5900583332999999,0.0655925669701968,0.7,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2009-09-09 20:09:15.827,,36,Chargedoff,2012-12-22,0.29926,0.26,0.25,0.179,0.065,0.179,4.0,9.0,1,KY,Executive,104.0,True,False,,,640.0,659.0,1999-04-30,5.0,3.0,24.0,1,98.0,1.0,9.0,0.0,0.0,6.0,3.0,0.0,4859.0,0.0,0.0,14.0,0.71,0.0,0.12,True,5833.333333,,,,,,,,,565,39.0,54,38613,1000,2009-09-22,Q3 2009,40.29,1369.86,922.43,447.43,-17.19,0.0,77.59,77.57,0.0,1.0,0,0,0.0,34,chargedoff,1,126.16666666666669,6.90875477931522,8.671515285065592,5.833333333,0.0069056733135408,0.5,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2007-02-04 17:24:27.850,HR,36,Chargedoff,2008-08-08,0.303,0.29,0.285,,,,,,0,,Other,,False,False,,2007-02-03 20:57:08.027,520.0,539.0,1997-10-24,,,20.0,0,0.0,1.0,9.0,14.0,,3.0,0.0,,,,,,,,0.27,True,416.666667,,,,,,,,,2161,18.0,85,7286,1500,2007-02-09,Q1 2007,62.86,817.18,403.08,414.1,-7.14,0.0,1096.92,1096.92,0.0,1.0,0,0,0.0,15,chargedoff,1,113.0,7.313886831633462,6.034683667026044,0.277777778,0.1505027931759754,,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0,medium,1
2008-02-07 07:41:34.793,AA,36,Chargedoff,2008-12-23,0.11084,0.1039,0.1039,,,,,,1,FL,Professional,30.0,True,False,,2008-02-07 07:27:33.060,760.0,779.0,1994-04-18,4.0,5.0,6.0,5,130.0,0.0,4.0,1.0,11808.0,2.0,0.0,0.0,5420.0,0.04,102675.0,5.0,0.8,0.0,0.06,True,6875.0,,,,,,,,,2026,10.0,73,27699,10000,2008-02-22,Q1 2008,324.51,1592.55,1148.88,443.67,0.0,0.0,8851.12,8851.12,0.0,1.0,0,0,0.0,229,chargedoff,1,168.1,9.210440366976515,8.83579236650274,0.6875,0.0471945898778359,1.0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,medium,1
2010-12-12 02:28:37.647,,36,Chargedoff,2012-08-17,0.33097,0.295,0.285,0.1698,0.108,0.1698,3.0,7.0,3,WA,Food Service Management,2.0,False,False,,,720.0,739.0,2005-08-08,9.0,8.0,21.0,7,93.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2847.0,0.26,7953.0,13.0,1.0,1.0,,False,5808.333333,,,,,,,,,692,20.0,39,46024,7500,2010-12-17,Q4 2010,316.34,4730.1,2334.46,2395.64,-81.01,0.0,5165.54,5165.54,0.0,1.0,0,0,0.0,182,chargedoff,1,65.06666666666666,8.922791623969637,8.667221098511844,0.7744444443999999,0.0544537525851763,0.8,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2011-10-17 13:24:58.970,,36,Chargedoff,2012-11-26,0.35643,0.3199,0.3099,0.2917,0.165,0.1267,1.0,2.0,1,CT,Teacher,169.0,True,False,,,700.0,719.0,1990-09-01,7.0,7.0,20.0,4,630.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,36267.0,0.8,8733.0,18.0,1.0,1.0,0.24,True,6250.0,,,,,,,,,499,13.0,29,54996,4000,2011-10-27,Q4 2011,174.2,1393.6,591.14,802.46,-25.07,-176.85,3408.86,3408.86,640.0,1.0,0,0,0.0,9,chargedoff,1,257.2,8.294299608857235,8.740496729931813,1.5625,0.027867541193409,0.875,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,medium,1
2008-08-21 13:23:26.287,C,36,Chargedoff,2009-08-29,0.20868,0.1865,0.1765,,,,,,7,OH,Truck Driver,103.0,True,False,,2008-08-16 09:43:28.700,640.0,659.0,1994-10-13,11.0,10.0,23.0,8,173.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7750.0,0.54,6783.0,17.0,0.94,3.0,0.36,True,3750.0,,,,,,,,,1777,12.0,67,36102,12000,2008-08-28,Q3 2008,437.75,3064.25,1846.39,1217.86,-65.3,0.0,10153.61,10153.61,0.0,1.0,0,0,0.0,292,chargedoff,1,168.7,9.39274525863144,8.229777750081887,0.3125,0.1167022127432684,0.8333333333333334,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,medium,1
